Store Ranking,,,,,,,,,,,
Time:Latest 104 Weeks Thu-Wed Ending 012925,,,,,,,,,,,
Product:Soft-Drink,,,,,,,,,,,
Product2:Products by Vendor/Brand,,,,,,,,,,,
Vendor:All Vendors,,,,,,,,,,,
Sobeys Brand:All Brands,,,,,,,,,,,
Sobeys Sales Organizations:All Sales Organizations,,,,,,,,,,,
Geography,Location No,Store No,Store Name,Division Name,Format Name,Banners Name,Store Address,Store Status - 52 Weeks,City Name,Province Name,Postal Code
Store 116,12323,116,Store 116,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 117,18048,117,Store 117,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 118,14053,118,Store 118,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,ON,UNKNOWN
Store 119,25265,119,Store 119,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,AB,UNKNOWN
Store 120,25504,120,Store 120,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,AB,UNKNOWN
Store 121,25564,121,Store 121,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,AB,UNKNOWN
Store 122,25566,122,Store 122,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,AB,UNKNOWN
Store 123,24789,123,Store 123,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,AB,UNKNOWN
Store 124,25266,124,Store 124,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,AB,UNKNOWN
Store 125,25268,125,Store 125,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,AB,UNKNOWN
Store 126,25269,126,Store 126,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,AB,UNKNOWN
Store 127,25272,127,Store 127,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,AB,UNKNOWN
Store 128,25273,128,Store 128,NATIONAL DISCOUNT,DISCOUNT,FRESH CO,UNKNOWN,ACTIVE,UNKNOWN,AB,UNKNOWN
