Product & Geography Sales Metrics,,,,
Time:Promo Week Ending 050422,,,,
Sobeys Brand:All Brands,,,,
Sobeys Sales Organizations:All Sales Organizations,,,,
Vendor:All Vendors,,,,
Geography,Product,UPC No,Dollar Sales All Sales,Unit Sales All Sales
Store 26,Cocacola Classic 8520 Ml,00006700002011,26.58,3
Store 26,Dads Root Beer 4 Ea,00083362701040,14.98,3
Store 27,7Up Soft Drink Diet 1332 Ml,00006540001808,107.88,18
Store 27,Canaddry Gingerale 355 Ml,00006210001893,47.76,36
Store 27,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,79.9,15
Store 27,7Up Zero 355Ml 12Pk 4260 Ml,00006540001160,63.96,6
Store 27,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,119.88,18
Store 27,Fevertre Tonic Water Light 800 Ml,00506010846023,59.92,12
Store 27,Comp Soft Drink Cola 1332 Ml,00005574255844,99.9,15
Store 27,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,19.98,3
Store 27,Fresca Soft Drink 222Ml 1332 Ml,00006700012243,21.98,3
Store 27,Cocacola Classic 8520 Ml,00006700002011,79.74,9
Store 27,Grizzlypaw Grapefruit Soda 1420 Ml,00087452801005,14.98,3
Store 28,7Up Soft Drink Diet 1332 Ml,00006540001808,17.98,3
Store 28,Schwepps Gingerale Cn 24X355Ml 355 Ml,00001660052100,59.94,9
Store 28,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,191.76,36
Store 28,Fanta Soda Pop Orange 1332 Ml,00006700002153,19.98,3
Store 28,7Up Zero 355Ml 12Pk 4260 Ml,00006540001160,31.98,3
Store 28,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,79.92,12
Store 28,Comp Soft Drink Cola 1332 Ml,00005574255844,19.98,3
Store 28,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,79.92,12
Store 28,Cocacola Classic 8520 Ml,00006700002011,53.16,6
Store 28,Dads Root Beer 4 Ea,00083362701040,74.9,15
Store 29,7Up Soft Drink Diet 1332 Ml,00006540001808,35.96,6
Store 29,Pepsi Zero Sugar 1332 Ml,00006900015936,99.9,15
Store 29,Canaddry Gingerale 355 Ml,00006210001893,3.98,3
Store 29,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,95.88,18
Store 29,7Up Zero 355Ml 12Pk 4260 Ml,00006540001160,31.98,3
Store 29,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,19.98,3
Store 29,Fevertre Water Tonic Eldrflw 800 Ml,00089819501165,44.94,9
Store 29,Comp Soft Drink Cola 1332 Ml,00005574255844,19.98,3
Store 29,Canaddry Ginger Ale Cranbry 1332 Ml,00006210002048,19.98,3
Store 29,Grizzlypaw Grapefruit Soda 1420 Ml,00087452801005,14.98,3
Store 29,Fentimans Ginger Beer 800 Ml,00502939601222,14.98,3
Store 31,7Up Soft Drink Diet 1332 Ml,00006540001808,35.96,6
Store 31,Canaddry Gingerale 355 Ml,00006210001893,51.74,39
Store 31,Crush Soda Grape 355Ml 12Pk 4260 Ml,00005600001684,527.34,99
Store 31,Fanta Soda Pop Orange 1332 Ml,00006700002153,19.98,3
Store 31,7Up Zero 355Ml 12Pk 4260 Ml,00006540001160,95.94,9
Store 31,Cocacola Zero Sugar Zero Caff 1332 Ml,00006700002114,59.94,9
Store 31,Fevertre Water Tonic Eldrflw 800 Ml,00089819501165,59.92,12
Store 31,Comp Soft Drink Cola 1332 Ml,00005574255844,19.98,3
