Division,Store Banner,Store No,Store Name,Address,City,Prv,Postal Code,Telephone,Fax
Super Market,Loblaws,1170,Store 1170,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Super Market,Loblaws,1174,Store 1174,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Super Market,Loblaws,1188,Store 1188,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Super Market,Loblaws,1194,Store 1194,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Joe Fresh,Joe Fresh,1210,Store 1210,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Joe Fresh,Joe Fresh,1211,Store 1211,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Super Market,Loblaws,1212,Store 1212,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Joe Fresh,Joe Fresh,1217,Store 1217,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Joe Fresh,Joe Fresh,1220,Store 1220,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Joe Fresh,Joe Fresh,1221,Store 1221,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Joe Fresh,Joe Fresh,1222,Store 1222,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Hard Discount,nofrills,1302,Store 1302,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Hard Discount,nofrills,1306,Store 1306,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Hard Discount,nofrills,1312,Store 1312,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Hard Discount,nofrills,1326,Store 1326,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Hard Discount,nofrills,1335,Store 1335,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Hard Discount,nofrills,1341,Store 1341,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Hard Discount,nofrills,1346,Store 1346,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Hard Discount,nofrills,1356,Store 1356,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Hard Discount,nofrills,1376,Store 1376,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Hard Discount,nofrills,1386,Store 1386,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Hard Discount,nofrills,1394,Store 1394,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Hard Discount,nofrills,1399,Store 1399,Unknown,Unknown,ON,Unknown,Unknown,Unknown
Super Market,Your Independent Grocer,1402,Store 1402,Unknown,Unknown,NS,Unknown,Unknown,Unknown
Super Market,Your Independent Grocer,1406,Store 1406,Unknown,Unknown,PE,Unknown,Unknown,Unknown
Super Market,Your Independent Grocer,1414,Store 1414,Unknown,Unknown,NS,Unknown,Unknown,Unknown
Super Market,Your Independent Grocer,1415,Store 1415,Unknown,Unknown,NB,Unknown,Unknown,Unknown
