Store Number,Store Name,Address,City Name,Province Name,Postal Code,Banner Name,Store Status
0948,Store 0948,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0951,Store 0951,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0953,Store 0953,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0916,Store 0916,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0919,Store 0919,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0941,Store 0941,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0990,Store 0990,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0999,Store 0999,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
2249,Store 2249,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
2289,Store 2289,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
2232,Store 2232,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0954,Store 0954,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0962,Store 0962,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0995,Store 0995,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0909,Store 0909,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0942,Store 0942,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
0957,Store 0957,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
2261,Store 2261,Unknown,Unknown,BRITISH COLUMBIA,Unknown,SAVE-ON-FOODS,ACTIVE
