product,upc,vendor,brand,category,subcategory,item_size,item_unit,pack_qty
Muskoka Silver Birch Beer 355 Ml,00062168063245,MUSKOKA BREWERY,MUSKOKA,CARBONATED SOFT DRINKS,Flavoured,2130,ml,6
Gioia Bitter 1000 Ml,00077992191020,MOLISANA IMPORTS,GIOIA,CARBONATED SOFT DRINKS,Ethnic,1000,ml,1
Jarritos Soft Drink Pineapple 1500 Ml,00009047801629,JARRITOS,JARRITOS,CARBONATED SOFT DRINKS,Tonic And Ales,1500,ml,1
Barrs Drink Irn Bru 1980 Ml,00500038211416,AG BARR,INR BRU,CARBONATED SOFT DRINKS,Flavoured,1980,ml,1
Fanta Soft Drink Orange 300 Ml,00006700002111,COCA COLA,FANTA,CARBONATED SOFT DRINKS,Cola,1800,ml,6
Sprite Soft Drink Bottle 300 Ml,00006700001808,COCA COLA,SPRITE,CARBONATED SOFT DRINKS,Cola,1800,ml,6
Barqs Cream Soda 355 Ml,00006700001917,COCA COLA,BARQS,CARBONATED SOFT DRINKS,Flavoured,2130,ml,6
Comp Sd Spruce Beer 355 Ml,00005574234586,PRIVATE LABEL,COMPLIMENTS,CARBONATED SOFT DRINKS,Flavoured,2130,ml,6
Asicilan Soda Sicilian Lemon 1320 Ml,00081268903136,A SICILIANA,A SICILIANA,CARBONATED SOFT DRINKS,Flavoured,1320,ml,1
1642 Tonic Pink Grapefruit 275 Ml,00062805581942,1642 SODAS,1642,CARBONATED SOFT DRINKS,Cola,1650,ml,6
Postobon Soda Colombiana Kola 2000 Ml,00080809701396,POSTOBON,POSTOBON,CARBONATED SOFT DRINKS,Ethnic,2000,ml,1
Asicilan Soda Blood Orange 1320 Ml,00081268903138,A SICILIANA,A SICILIANA,CARBONATED SOFT DRINKS,Flavoured,1320,ml,1
Schwepps Tonic Water 355Ml 355 Ml,00001660001041,PEPSICO,SCHWEPPES,CARBONATED SOFT DRINKS,Tonic And Ales,2130,ml,6
A&W Rootbeer 355Ml 355 Ml,00005953101002,COCA COLA,AW,CARBONATED SOFT DRINKS,Flavoured,2130,ml,6
Soca Cream Soda 400 Ml,00501439631268,SOCA,SOCA,CARBONATED SOFT DRINKS,Ethnic,1600,ml,4
Big8 Cranbry Gingerale 2000 Ml,00006448001140,PRIVATE LABEL,BIG 8,CARBONATED SOFT DRINKS,Tonic And Ales,2000,ml,1
